"-- Manual","-- Manual"
"-- none","-- none"
"Add your pinterest and twitter username and activate the Pinterest Rich Pins and Twitter Product Cards on product and/or cateogrie level.","Add your pinterest and twitter username and activate the Pinterest Rich Pins and Twitter Product Cards on product and/or cateogrie level."
"Additional Information Block","Additional Information Block"
"Address,Address
"Advanced: Custom Layout Update Handle","Advanced: Custom Layout Update Handle"
"After Content","After Content"
"Alternate Name","Alternate Name"
"An improved search box within the search results. When shown, it will make it easier for users to reach specific content on your site, directly through your own site-search pages.","An improved search box within the search results. When shown, it will make it easier for users to reach specific content on your site, directly through your own site-search pages."
"Attribute","Attribute"
"Before Content","Before Content"
"Brand Attribute","Brand Attribute"
"Category Page Configuration","Category Page Configuration"
"Category Rich Snippets: General","Category Rich Snippets: General"
"CMS Pages: Open Graph Facebook Tags","CMS Pages: Open Graph Facebook Tags"
"CMS Pages & Homepage Configuration","CMS Pages & Homepage Configuration"v
"CMS Pages: Twitter Cards","CMS Pages: Twitter Cards"
"Color Attribute","Color Attribute"
"Company","Company"
"Condition Attribute","Condition Attribute"
"Custom Home Title","Custom Home Title"
"Custom Location","Custom Location"
"Custom Title","Custom Title"
"Damaged","Damaged"
"Default Condition","Default Condition"
"Detailed Breadcrumbs","Detailed Breadcrumbs"
"Display","Display"
"Email","Email"
"Enable","Enable"
"Enabled","Enabled"
"Extra Data: Brand","Extra Data: Brand"
"Extra Data: Color","Extra Data: Color"
"Extra Data: Description","Extra Data: Description"
"Extra Data: Model","Extra Data: Model"
"Extra Data: Product Description","Extra Data: Product Description"
"Extra Data: Product Identifier","Extra Data: Product Identifier"
"Facebook Company Link","Facebook Company Link"
"Facebook Company username","Facebook Company username"
"Facebook requires the logo to be at least 200px by 200px","Facebook requires the logo to be at least 200px by 200px"
"Footer","Footer"
"General configuration","General configuration"
"Googleplus Username","Googleplus Username"
"Googleplus landingpage","Googleplus landingpage"
"Hidden - Json","Hidden - Json"
"Hidden: Json","Hidden: Json"
"Hide if no price","Hide if no price"
"Image Url","Image Url"
"In stock","In stock"
"Instagram Username","Instagram Username"
"Instagram landingpage","Instagram landingpage"
"Length of Description","Length of Description"
"Licence","Licence"
"License Key","License Key"
"Linkedin landingpage","Linkedin landingpage"
"Linkedin username","Linkedin username"
"Locality","Locality"
"Location in Footer","Location in Footer"
"Location on Productpage","Location on Productpage"
"Logo Url","Logo Url"
"Magento Reviews","Magento Reviews"
"Magmodules","Magmodules"
"Magmodules: Shopreview","Magmodules: Shopreview"
"Markup","Markup"
"Model Attribute","Model Attribute"
"New","New"
"No","No"
"Our %s has been rated %s based on %s individual customer review(s)","Our %s has been rated %s based on %s individual customer review(s)"
"Out of","Out of"
"Out of Stock","Out of Stock"
"Please select the extra currencies for display","Please select the extra currencies for display"
"Pinterest Rich Pins","Pinterest Rich Pins"
"Pinterest Sitename","Pinterest Sitename"
"Position","Position"
"Postal Code","Postal Code"
"Price Type","Price Type"
"Price:","Price:"
"Prices","Prices"
"Prices from %s to %s","Prices from %s to %s"
"Product Description Block","Product Description Block"
"Product Grid","Product Grid"
"Product Page Configuration","Product Page Configuration"
"Product Review Block (Modern Theme)","Product Review Block (Modern Theme)"
"Product Rich Snippets: General","Product Rich Snippets: General"
"RDF - Data-vocabulary","RDF - Data-vocabulary"
"Rating: %s based on %s review(s)","Rating: %s based on %s review(s)"
"Refurbished","Refurbished"
"Reviews","Reviews"
"Reviews / Votes","Reviews / Votes"
"Rich Snippets Suite","Rich Snippets Suite"
"Schema.org","Schema.org"
"Schema.org Rich Snippets","Schema.org Rich Snippets"
"Schema: Breadcrumbs","Schema: Breadcrumbs"
"Schema: Offer","Schema: Offer"
"Schema: Organization","Schema: Organization"
"Schema: Rating","Schema: Rating"
"Schema: Site Name","Schema: Site Name"
"Server Name","Server Name"
"Shop Rating Data","Shop Rating Data"
"Show Condition","Show Condition"
"Show Stock","Show Stock"
"Sitelinks Search Box","Sitelinks Search Box"
"Sitename","Sitename"
"Social Integration","Social Integration"
"Social Media","Social Media"
"Source","Source"
"Starting at:","Starting at:"
"Tax Percentage","Tax Percentage"
"Telephone","Telephone"
"The image must be a minimum size of 120px by 120px and must be less than 1MB in file size.","The image must be a minimum size of 120px by 120px and must be less than 1MB in file size."
"The breadcrumb trail is a set of links (breadcrumbs) that can help a user understand and navigate your site's hierarchy, like this: <strong>Yourstore </strong>› <strong>Books </strong>› <strong>Authors</strong> › <strong>Stephen King.</strong> When you activate the Breadcrumb, Google can use it to understand and present the information on your pages in our search results.","The breadcrumb trail is a set of links (breadcrumbs) that can help a user understand and navigate your site's hierarchy, like this: <strong>Yourstore </strong>› <strong>Books </strong>› <strong>Authors</strong> › <strong>Stephen King.</strong> When you activate the Breadcrumb, Google can use it to understand and present the information on your pages in our search results."
"This Schema allows you to mark up the contact information on your site for your business or organization. This rich text formatting is referenced by Google Local as a source for its data.","This Schema allows you to mark up the contact information on your site for your business or organization. This rich text formatting is referenced by Google Local as a source for its data."
"Twitter Cards","Twitter Cards"
"Twitter Company Link","Twitter Company Link"
"Twitter Username","Twitter Username"
"Type of display","Type of display"
"Unique Type","Unique Type"
"Use multiple currencies","Use multiple currencies"
"Use structured data markup on your public website to indicate the preferred name you want Google to display in Search results. You can also provide more than one possible name for your site, and let Google Search algorithms choose between them.","Use structured data markup on your public website to indicate the preferred name you want Google to display in Search results. You can also provide more than one possible name for your site, and let Google Search algorithms choose between them."
"Used","Used"
"Visible - Complete schema block","Visible - Complete schema block"
"Visible - Summary block in footer","Visible - Summary block in footer"
"Visible: Block (content)","Visible: Block (content)"
"Visible: Block (footer)","Visible: Block (footer)"
"Visible: Sidebar (recommend)","Visible: Sidebar (recommend)"
"Votes","Votes"
"Yes, same for all","Yes, same for all"
"Yes, use attribute","Yes, use attribute"
"Yotpo Reviews","Yotpo Reviews"
"out of 100","out of 100"
"out of 5","out of 5"
"Open Graph: Title","Open Graph: Title"
"Open Graph: Description","Open Graph: Description"
"Open Graph: Logo","Open Graph: Logo"
